filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
│Ч│Э│Ю0301528896_TS903155707-665a2c62-cd37-49ed-895d-a666e719551d.jpg,265010,"{}",2,0,"{""name"":""rect"",""x"":354,""y"":742,""width"":350,""height"":348}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301528896_TS903155707-665a2c62-cd37-49ed-895d-a666e719551d.jpg,265010,"{}",2,1,"{""name"":""rect"",""x"":354,""y"":742,""width"":350,""height"":348}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301570828_TS903167931-aa3325ac-474f-4f90-af6d-b81871999c97.jpg,97641,"{}",4,0,"{""name"":""rect"",""x"":476,""y"":240,""width"":420,""height"":358}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301570828_TS903167931-aa3325ac-474f-4f90-af6d-b81871999c97.jpg,97641,"{}",4,1,"{""name"":""rect"",""x"":643,""y"":1,""width"":336,""height"":274}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301570828_TS903167931-aa3325ac-474f-4f90-af6d-b81871999c97.jpg,97641,"{}",4,2,"{""name"":""rect"",""x"":476,""y"":240,""width"":420,""height"":358}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301570828_TS903167931-aa3325ac-474f-4f90-af6d-b81871999c97.jpg,97641,"{}",4,3,"{""name"":""rect"",""x"":643,""y"":1,""width"":336,""height"":274}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301572219_TS903168292-ec603bee-64a4-40df-b661-255a2eacc5bf.jpg,257896,"{}",2,0,"{""name"":""rect"",""x"":591,""y"":1187,""width"":205,""height"":412}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301572219_TS903168292-ec603bee-64a4-40df-b661-255a2eacc5bf.jpg,257896,"{}",2,1,"{""name"":""rect"",""x"":591,""y"":1187,""width"":205,""height"":412}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301573933_TS903168746-0de347a9-8645-4017-ac70-d4d8714be384.jpg,278533,"{}",2,0,"{""name"":""rect"",""x"":342,""y"":230,""width"":838,""height"":1623}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301573933_TS903168746-0de347a9-8645-4017-ac70-d4d8714be384.jpg,278533,"{}",2,1,"{""name"":""rect"",""x"":342,""y"":230,""width"":838,""height"":1623}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301578510_TS903169755-90afaf53-3216-4d6d-a657-826659bda9c7.jpg,264322,"{}",2,0,"{""name"":""rect"",""x"":426,""y"":254,""width"":880,""height"":1619}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301578510_TS903169755-90afaf53-3216-4d6d-a657-826659bda9c7.jpg,264322,"{}",2,1,"{""name"":""rect"",""x"":426,""y"":254,""width"":880,""height"":1619}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301642469_TS903181665-bdce7fa2-fd39-4ec0-ba64-4e8c3eca0837.jpg,142643,"{}",2,0,"{""name"":""rect"",""x"":243,""y"":178,""width"":1209,""height"":1873}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301642469_TS903181665-bdce7fa2-fd39-4ec0-ba64-4e8c3eca0837.jpg,142643,"{}",2,1,"{""name"":""rect"",""x"":243,""y"":178,""width"":1209,""height"":1873}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301652402_TS903182788-bcc5b741-6ef3-4b1f-a504-75549b732601.jpg,174824,"{}",2,0,"{""name"":""rect"",""x"":486,""y"":383,""width"":756,""height"":1328}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301652402_TS903182788-bcc5b741-6ef3-4b1f-a504-75549b732601.jpg,174824,"{}",2,1,"{""name"":""rect"",""x"":486,""y"":383,""width"":756,""height"":1328}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301661595_TS903185386-959f4850-68b5-49e9-a145-acb3e34dd736.jpg,112156,"{}",2,0,"{""name"":""rect"",""x"":207,""y"":216,""width"":1022,""height"":541}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301661595_TS903185386-959f4850-68b5-49e9-a145-acb3e34dd736.jpg,112156,"{}",2,1,"{""name"":""rect"",""x"":207,""y"":216,""width"":1022,""height"":541}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301675930_TS903188747-436a3e2e-21af-42b6-b81b-aade9b0ec024.jpg,172738,"{}",2,0,"{""name"":""rect"",""x"":367,""y"":551,""width"":740,""height"":1409}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301675930_TS903188747-436a3e2e-21af-42b6-b81b-aade9b0ec024.jpg,172738,"{}",2,1,"{""name"":""rect"",""x"":367,""y"":551,""width"":740,""height"":1409}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301692156_TS903192248-e11659ee-3bc5-4a49-818e-de64659625e6.jpg,185398,"{}",2,0,"{""name"":""rect"",""x"":532,""y"":447,""width"":362,""height"":271}","{""terminal"":""terminal""}"
│Ч│Э│Ю0301692156_TS903192248-e11659ee-3bc5-4a49-818e-de64659625e6.jpg,185398,"{}",2,1,"{""name"":""rect"",""x"":532,""y"":447,""width"":362,""height"":271}","{""terminal"":""terminal""}"
╨Ч╨Э╨Ю0301516587_TS903153365-d33614ba-3956-4653-b035-3d89761aca7a.jpg,87003,"{}",2,0,"{""name"":""rect"",""x"":453,""y"":581,""width"":381,""height"":739}","{""terminal"":""terminal""}"
╨Ч╨Э╨Ю0301516587_TS903153365-d33614ba-3956-4653-b035-3d89761aca7a.jpg,87003,"{}",2,1,"{""name"":""rect"",""x"":453,""y"":581,""width"":381,""height"":739}","{""terminal"":""terminal""}"
