                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7929,                 4.3187,                 2.2053,                      0,                      0,                      0,                      0,                 2.8579,                  18.75,                 1.8206,              0.0002748,              0.0002748,              0.0002748
                      2,                 2.5617,                 3.0217,                 1.9944,                      0,                      0,                      0,                      0,                 4.3738,                 8.6627,                 2.8986,             0.00054882,             0.00054882,             0.00054882
                      3,                 2.5504,                 2.8951,                  1.987,                      0,                      0,                      0,                      0,                 5.0069,                 12.192,                 2.9925,             0.00081918,             0.00081918,             0.00081918
                      4,                  2.524,                 2.8595,                 1.9854,                      0,                      0,                      0,                      0,                 3.1255,                 8.8411,                 2.6475,             0.00081651,             0.00081651,             0.00081651
                      5,                 2.5066,                 2.7628,                 1.9657,                      0,                      0,                      0,                      0,                  4.437,                 8.6525,                 2.5723,             0.00081651,             0.00081651,             0.00081651
                      6,                 2.4424,                 2.6663,                 1.9318,                      0,                      0,                      0,                      0,                 3.8622,                 9.3016,                 2.9554,             0.00081101,             0.00081101,             0.00081101
                      7,                 2.4428,                 2.5818,                 1.8923,                      0,                      0,                      0,                      0,                 4.0218,                 8.0781,                  2.475,             0.00080551,             0.00080551,             0.00080551
                      8,                  2.392,                 2.5149,                 1.8818,                      0,                      0,                      0,                      0,                 2.5722,                  8.375,                 1.9791,             0.00080001,             0.00080001,             0.00080001
                      9,                 2.3725,                 2.4946,                 1.8769,                      0,                      0,                      0,                      0,                 5.4881,                 12.852,                 3.5211,             0.00079452,             0.00079452,             0.00079452
                     10,                 2.3378,                 2.3814,                 1.8323,                      0,                      0,                      0,                      0,                 2.4011,                 6.8359,                 1.9287,             0.00078902,             0.00078902,             0.00078902
                     11,                 2.3139,                 2.3534,                 1.8169,                      0,                      0,                      0,                      0,                  3.731,                 7.3867,                 2.3074,             0.00078352,             0.00078352,             0.00078352
                     12,                 2.2682,                 2.2765,                 1.8153,                      0,                      0,                      0,                      0,                 3.4516,                 9.0494,                 2.4307,             0.00077802,             0.00077802,             0.00077802
                     13,                  2.278,                  2.243,                 1.8004,                      0,                      0,                      0,                      0,                 5.0472,                 7.7048,                  3.028,             0.00077252,             0.00077252,             0.00077252
                     14,                 2.2412,                 2.2003,                  1.786,                      0,                      0,                      0,                      0,                 2.6502,                 6.2188,                 2.1968,             0.00076703,             0.00076703,             0.00076703
                     15,                 2.2214,                 2.1616,                 1.7552,                      0,                      0,                      0,                      0,                 3.9139,                  6.674,                 2.5484,             0.00076153,             0.00076153,             0.00076153
                     16,                 2.2065,                 2.0812,                 1.7483,                      0,                      0,                      0,                      0,                 2.0619,                 7.4898,                 2.4757,             0.00075603,             0.00075603,             0.00075603
                     17,                 2.1921,                 2.0407,                 1.7053,                      0,                      0,                      0,                      0,                 4.5198,                 7.9806,                 2.6093,             0.00075053,             0.00075053,             0.00075053
                     18,                  2.156,                  1.996,                 1.7165,                      0,                      0,                      0,                      0,                 3.9384,                  7.385,                 2.5846,             0.00074504,             0.00074504,             0.00074504
                     19,                 2.1626,                 1.9807,                  1.701,                      0,                      0,                      0,                      0,                 3.8607,                 6.4883,                 2.2457,             0.00073954,             0.00073954,             0.00073954
                     20,                 2.1123,                 1.8844,                 1.6608,                      0,                      0,                      0,                      0,                 3.4003,                 7.2812,                 2.1232,             0.00073404,             0.00073404,             0.00073404
                     21,                 2.0939,                 1.8705,                 1.6491,                      0,                      0,                      0,                      0,                 4.9792,                 7.9028,                 2.9983,             0.00072854,             0.00072854,             0.00072854
                     22,                  2.084,                 1.8495,                 1.6513,                      0,                      0,                      0,                      0,                 3.1515,                 8.8988,                  2.601,             0.00072304,             0.00072304,             0.00072304
                     23,                 2.0499,                 1.7882,                 1.6392,                      0,                      0,                      0,                      0,                 3.1885,                 6.0871,                 2.3466,             0.00071755,             0.00071755,             0.00071755
                     24,                 2.0402,                 1.7681,                 1.6234,                      0,                      0,                      0,                      0,                 4.9946,                  10.68,                 3.3761,             0.00071205,             0.00071205,             0.00071205
                     25,                 2.0141,                 1.6951,                 1.5875,                      0,                      0,                      0,                      0,                 2.4928,                 8.3281,                  2.147,             0.00070655,             0.00070655,             0.00070655
                     26,                  2.009,                 1.6629,                 1.5803,                      0,                      0,                      0,                      0,                 3.4941,                 6.3672,                 2.1478,             0.00070105,             0.00070105,             0.00070105
                     27,                 1.9802,                 1.6196,                 1.5664,                      0,                      0,                      0,                      0,                 4.3257,                 9.3445,                 2.7581,             0.00069556,             0.00069556,             0.00069556
                     28,                 1.9537,                 1.5863,                 1.5479,                      0,                      0,                      0,                      0,                 5.0212,                 7.2462,                 2.9922,             0.00069006,             0.00069006,             0.00069006
                     29,                 1.9298,                 1.5661,                 1.5287,                      0,                      0,                      0,                      0,                 3.6659,                 9.7734,                 2.1922,             0.00068456,             0.00068456,             0.00068456
                     30,                  1.917,                  1.541,                 1.5248,                      0,                      0,                      0,                      0,                   3.98,                 8.4305,                 2.5286,             0.00067906,             0.00067906,             0.00067906
                     31,                 1.8858,                 1.5249,                 1.5081,                      0,                      0,                      0,                      0,                  4.071,                 6.4879,                 2.2843,             0.00067356,             0.00067356,             0.00067356
                     32,                 1.8728,                 1.4607,                 1.4992,                      0,                      0,                      0,                      0,                  3.555,                 4.7539,                  2.168,             0.00066807,             0.00066807,             0.00066807
                     33,                 1.8722,                 1.4347,                 1.4871,                      0,                      0,                      0,                      0,                 2.3178,                 5.0664,                  1.852,             0.00066257,             0.00066257,             0.00066257
