;file_name;quality_photo;terminal;receipt;terminal_damaged;terminal_undamaged;terminal_unrecognized_defect;other;anticlass;hash
3;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301637099_TS903180337-d743c3b6-171a-478b-a4c0-1f3916b1c597.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;a0dbd23e456ba2d7ff878a4477e4662226263c26e9e9e0803d75dd546c5c8b67
4;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301685612_TS903190653-0780c9c1-1f9a-444d-ac08-348d1f045e4a.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;34eafd1cdb8ff79c802870778531b84d8d1ebaae9903006a340838f5f9183d3e
5;..\data\sorted_data_merged\damaged_augm\photo_2023-08-21_16-48-44.jpg_contr.jpeg;1;1;0;1;0;0;0;0;66e93438dac17a8e543ee8470c38ce2667eaa577740c103dcd4e8675a2e3e315
6;..\data\sorted_data_merged\damaged_augm\ЗНО0301422569_TS903134539-67f34ffe-c484-4b5b-abcf-e4b1671ce566.jpg_gray_contr.jpeg;1;1;0;1;0;0;0;0;40916eb13560ad7fb17571046ad3058c8e7450d10765cb5744b7b63097bbe2c6
7;..\data\sorted_data_merged\damaged_augm\ЗНО0301422569_TS903134539-67f34ffe-c484-4b5b-abcf-e4b1671ce566.jpg_contr.jpeg;1;1;0;1;0;0;0;0;df3ae3546a85a77374193ed99c2fa28b5ddecd7596113ad1476429ffeb0649c4
9;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301573467_TS903168628-cf93d044-a1c6-4119-8280-ed745b0ee695.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;10f461ef3f64b984f3513cb6012d70c33d0e914e71006e5c83be02a05d11df6a
10;..\data\sorted_data_merged\damaged_augm\ЗНО0301502644_TS903149947-7d50bc84-fd1a-45d2-9c5e-8c9a7a025305.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;67e566b5cacac3cd788539b4452b1792c91760716feee9bb373a4e4f06f99b49
11;..\data\sorted_data_merged\damaged_augm\ЗНО0301391472_TS903127764-296d81ac-a3c4-4b54-840b-8ea2a050c90f.jpg_clache.jpeg;1;1;0;1;0;0;0;0;4d097f2cdb8714f7d080964fa35ab012fd6034b95e442db4ae563f8b9177e6d8
12;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301755428_TS903203881-c2bc1b72-1772-4018-8de7-9ee4175ba838.jpg_clache.jpeg;1;1;0;1;0;0;0;0;7b388376a45a15282e40cbfdea4f4f3870c3c52a11a23ee1d68a690ffdd7078b
16;..\data\sorted_data_merged\damaged_augm\photo_2_2023-08-21_15-28-35.jpg_gray_contr.jpeg;1;1;0;1;0;0;0;0;60704f451dc48dfbffb876e28d9e344fb1c434f78dc7f5643c2a31a1dfa3cc4b
19;..\data\sorted_data_merged\damaged_augm\ЗНО0301515905_TS903153117-56a97aef-b34b-4bda-bebc-dc2ff9864f38.jpg_clache.jpeg;1;1;0;1;0;0;0;0;6749d3e8b73a9a6a170067615bb879c70a619123fc50bc058922334bb8f71077
20;..\data\sorted_data_merged\damaged_augm\ЗНО0301587386_TS903171433-88cac023-e010-470f-a40c-de482e39c330.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;a2a336c14faf87dfce878d6b423597dae091cb2ea29b4b6e55d1ef1013878147
22;..\data\sorted_data_merged\damaged_augm\photo_2023-08-21_14-59-17.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;a865f408c2916c9e49b48c9f29e6b7e8f454000a8d35d7c8e208b264438c7208
23;..\data\sorted_data_merged\damaged_augm\ЗНО0301278998_TS903105873-a908e711-e856-4e5e-a998-674f0b418cea.jpg_gray_contr.jpeg;1;1;0;1;0;0;0;0;c54fec1f96c5e9c5d8c60397a023b881ed6d733188e13605c087f2c9848a0a19
25;..\data\sorted_data_merged\damaged_augm\Без повреждений (26).jpeg_sharp.jpeg;1;1;0;1;0;0;0;0;09cd459773e8af2eb160e7f97cf69df03f5418f49729b0bb74b0893e7cae9956
29;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301580822_TS903170191-82d006cc-c670-4223-b2a7-5ee3901ef156.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;16abab341fb7f370e27e4dadcf81766dd0dfd0ae64469477bb2cf6614938b2af
30;..\data\sorted_data_merged\damaged_augm\ЗНО0301291747_TS903107389-e74b77bc-2018-419a-9d52-80b98d16028a.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;f76235535eb6d1ecda41519bb165eb6a7da0c2c88ed3a539ec474bbf93c2fbb3
31;..\data\sorted_data_merged\damaged_augm\photo_2023-08-21_16-49-17.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;0a56f6422795db918a7ee3238d34681d8cbcfb3b4affe0cdbbc5d0f129b32f55
