                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8631,                 2.1541,                 1.3251,                0.58699,                 0.0979,                0.09971,                0.05511,                  2.812,                 3.2046,                 1.5567,             0.00025591,             0.00025591,             0.00025591
                      2,                 1.6663,                 1.5695,                 1.2044,                0.30444,                 0.1206,                0.05134,                0.02129,                 2.8292,                 3.3323,                 1.5348,             0.00049956,             0.00049956,             0.00049956
                      3,                  1.608,                  1.421,                 1.1701,                0.22844,                0.15066,                0.06616,                0.02887,                 2.8518,                 3.2715,                 1.5286,             0.00073053,             0.00073053,             0.00073053
                      4,                  1.545,                 1.2849,                 1.1398,                0.13795,                0.16192,                 0.1115,                0.04588,                 2.8826,                 3.2134,                 1.5848,              0.0007119,              0.0007119,              0.0007119
                      5,                  1.465,                 1.1517,                 1.0989,                0.15176,                0.13981,                0.06925,                0.02501,                 2.9433,                 3.2914,                 1.5731,              0.0007119,              0.0007119,              0.0007119
                      6,                 1.3877,                 1.0315,                 1.0641,                0.37861,                0.10873,                0.08779,                0.03542,                 2.9676,                 3.3993,                 1.6091,             0.00069287,             0.00069287,             0.00069287
                      7,                 1.3351,                0.96118,                 1.0394,                0.25495,                0.15875,                0.08781,                0.03204,                 2.8709,                 3.2088,                 1.5414,             0.00067384,             0.00067384,             0.00067384
                      8,                  1.294,                0.90283,                 1.0227,                0.14126,                0.11831,                0.08065,                0.04535,                  2.886,                 3.5163,                 1.5816,              0.0006548,              0.0006548,              0.0006548
                      9,                  1.248,                0.84988,                 1.0045,                0.25084,                0.13156,                0.07433,                0.02832,                 3.0181,                 3.3236,                  1.664,             0.00063577,             0.00063577,             0.00063577
                     10,                 1.2094,                0.80991,                0.99383,                0.27717,                0.13396,                0.09488,                0.05239,                 2.9255,                 3.4518,                 1.6067,             0.00061674,             0.00061674,             0.00061674
                     11,                 1.1759,                0.76757,                 0.9784,                0.29857,                0.16111,                0.11744,                0.05544,                 2.9981,                 3.6482,                 1.6642,             0.00059771,             0.00059771,             0.00059771
                     12,                 1.1404,                0.73292,                 0.9635,                0.47867,                0.10542,                0.09194,                0.04886,                 2.9751,                 3.6309,                 1.6658,             0.00057867,             0.00057867,             0.00057867
                     13,                 1.1167,                0.71202,                0.95772,                0.38243,                0.14864,                0.10626,                0.04858,                 2.9898,                 3.7084,                 1.6679,             0.00055964,             0.00055964,             0.00055964
                     14,                 1.0877,                0.68534,                0.94749,                0.32939,                0.13328,                0.09862,                0.04871,                 3.0479,                 3.7348,                 1.7446,             0.00054061,             0.00054061,             0.00054061
                     15,                 1.0691,                0.66568,                0.93978,                0.25116,                 0.1474,                0.08649,                0.03517,                 3.0707,                 3.8948,                 1.6862,             0.00052157,             0.00052157,             0.00052157
                     16,                 1.0459,                0.64316,                0.93147,                0.26759,                0.16122,                0.11681,                 0.0574,                 3.0537,                 3.8115,                 1.7228,             0.00050254,             0.00050254,             0.00050254
                     17,                 1.0289,                0.63283,                0.92765,                0.38765,                0.12373,                 0.1119,                0.05541,                  3.018,                 3.6431,                 1.7171,             0.00048351,             0.00048351,             0.00048351
                     18,                 1.0001,                0.60791,                0.91659,                0.38231,                 0.1072,                0.10584,                0.05309,                 2.9901,                 3.6843,                 1.6715,             0.00046448,             0.00046448,             0.00046448
                     19,                0.98824,                0.59704,                0.91575,                0.28318,                0.14776,                0.11391,                0.06355,                 3.0273,                 3.8108,                 1.7383,             0.00044544,             0.00044544,             0.00044544
                     20,                0.97287,                0.58026,                 0.9091,                0.33418,                0.14888,                0.10089,                0.05206,                 3.0471,                 3.7831,                 1.7153,             0.00042641,             0.00042641,             0.00042641
                     21,                0.94422,                0.56163,                 0.9031,                0.27208,                0.13898,                0.09994,                 0.0474,                 3.1547,                 3.8914,                 1.7935,             0.00040738,             0.00040738,             0.00040738
                     22,                0.94018,                0.55875,                0.90167,                0.29842,                0.12199,                0.09577,                0.04932,                  3.164,                 3.8023,                 1.8406,             0.00038835,             0.00038835,             0.00038835
                     23,                 0.9205,                0.54322,                0.89605,                0.26665,                0.10624,                 0.0781,                0.04328,                 3.1499,                 3.9126,                  1.793,             0.00036931,             0.00036931,             0.00036931
                     24,                0.90476,                0.53218,                0.89156,                 0.3166,                0.09624,                0.08118,                0.04196,                 3.1976,                 3.9202,                 1.8261,             0.00035028,             0.00035028,             0.00035028
                     25,                0.89361,                 0.5227,                0.88837,                0.43807,                0.08162,                0.08534,                0.03991,                 3.1163,                 4.0925,                 1.8011,             0.00033125,             0.00033125,             0.00033125
                     26,                0.87463,                0.50951,                0.88298,                0.34585,                0.10535,                0.09921,                0.04726,                 3.1976,                 4.1014,                 1.8687,             0.00031221,             0.00031221,             0.00031221
                     27,                0.85861,                0.49923,                0.88031,                0.34692,                0.09368,                0.08622,                0.04545,                 3.2504,                 3.9895,                 1.8751,             0.00029318,             0.00029318,             0.00029318
                     28,                0.84665,                0.49076,                0.87681,                0.42831,                0.08916,                0.09347,                 0.0469,                 3.1313,                 4.0596,                 1.8114,             0.00027415,             0.00027415,             0.00027415
