                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.959,                 2.5082,                 1.4047,                0.18276,                0.10444,                0.05396,                0.03148,                 2.8453,                 3.1235,                 1.5281,              0.0033278,              0.0033278,              0.0033278
                      2,                   1.64,                 1.5805,                 1.1795,                0.41697,                0.11129,                0.08448,                0.04167,                 2.7991,                 2.9976,                 1.5437,              0.0066447,              0.0066447,              0.0066447
                      3,                 1.6259,                 1.4605,                 1.1547,                0.22026,                0.10081,                0.06288,                0.02635,                 2.8457,                  3.397,                 1.5687,               0.009945,               0.009945,               0.009945
                      4,                 1.6251,                 1.4099,                 1.1529,                0.10055,                0.08368,                0.05363,                0.02178,                  2.969,                 3.6216,                 1.5772,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.5504,                 1.2633,                 1.1158,                0.25106,                  0.085,                0.09471,                0.04582,                  2.898,                 3.3226,                 1.5978,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.4751,                 1.1363,                 1.0837,                0.18999,                0.17534,                0.11589,                0.05691,                 2.8608,                 3.1212,                 1.6211,               0.009901,               0.009901,               0.009901
                      7,                 1.4174,                 1.0516,                 1.0588,                 0.2528,                0.13065,                0.07702,                0.03554,                 2.9743,                 3.3577,                 1.6079,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.3716,                0.98756,                 1.0408,                0.29369,                0.09097,                0.06801,                0.02696,                 3.0949,                 3.7237,                 1.6839,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.3249,                0.92442,                 1.0214,                0.36106,                0.11917,                0.09574,                  0.051,                 2.9641,                 3.5142,                 1.6069,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.2814,                0.88111,                 1.0074,                0.33913,                0.11357,                0.06765,                0.03836,                 2.9583,                 3.4142,                 1.5962,               0.009802,               0.009802,               0.009802
                     11,                 1.2493,                 0.8378,                 0.9925,                0.27765,                0.13634,                0.08286,                0.03787,                 2.9235,                 3.5051,                 1.6133,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.2161,                0.80501,                 0.9785,                0.20117,                0.10415,                0.06852,                0.03027,                 3.0962,                 3.6385,                  1.673,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.1823,                0.77144,                0.96902,                0.30372,                0.11236,                0.09788,                0.04726,                  3.039,                 3.4469,                 1.6924,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.1636,                0.75342,                0.96341,                0.26389,                0.09096,                0.04651,                0.02314,                 3.0805,                  3.835,                 1.7131,               0.009703,               0.009703,               0.009703
                     15,                 1.1407,                0.73094,                0.95407,                0.23452,                 0.0978,                0.04996,                 0.0288,                 3.0409,                 3.7753,                 1.7098,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.1188,                0.71036,                0.94722,                  0.263,                0.13383,                0.09834,                0.04267,                  3.056,                 3.6275,                 1.6436,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.1018,                0.69446,                0.94087,                0.24797,                0.11691,                0.08417,                0.03861,                 3.0897,                 4.0564,                 1.7099,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.0778,                0.67077,                0.93161,                0.23095,                0.11446,                0.08443,                0.03729,                 3.0712,                    3.7,                 1.7011,               0.009604,               0.009604,               0.009604
                     19,                 1.0621,                0.65889,                0.93022,                0.28254,                0.11203,                0.07666,                0.04057,                 3.0382,                 3.7088,                 1.6765,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.0537,                0.64983,                0.92392,                0.36145,                0.06218,                0.07438,                0.03394,                 3.1364,                 3.9082,                 1.7534,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.0283,                0.63066,                0.91901,                0.12797,                0.09415,                0.06515,                0.03485,                 3.1466,                  3.972,                 1.7451,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.0232,                0.62473,                0.91695,                0.45606,                0.06739,                0.07593,                0.03324,                 3.1065,                 3.9484,                 1.7268,               0.009505,               0.009505,               0.009505
                     23,                 1.0086,                0.61207,                0.91302,                0.22397,                0.09373,                0.06784,                0.03671,                 3.1098,                 4.0229,                 1.7137,              0.0094803,              0.0094803,              0.0094803
                     24,                0.99706,                0.60479,                0.90951,                0.31089,                0.08523,                 0.0694,                0.04351,                 3.0756,                  3.905,                 1.7774,              0.0094555,              0.0094555,              0.0094555
                     25,                0.98753,                0.59529,                0.90643,                0.31389,                0.08878,                0.07192,                0.03099,                 3.1481,                 4.0971,                 1.7496,              0.0094307,              0.0094307,              0.0094307
                     26,                0.97748,                 0.5885,                0.90225,                0.23466,                0.06662,                0.05388,                0.03171,                 3.2275,                 4.2485,                 1.7957,               0.009406,               0.009406,               0.009406
                     27,                0.96564,                0.57992,                0.90115,                0.23848,                0.12424,                0.07686,                0.03379,                  3.085,                 4.2507,                 1.7557,              0.0093813,              0.0093813,              0.0093813
                     28,                0.95577,                0.57025,                0.89826,                0.24052,                0.11077,                0.07771,                0.03572,                 3.1177,                 4.2532,                 1.7529,              0.0093565,              0.0093565,              0.0093565
                     29,                 0.9488,                 0.5656,                0.89461,                0.23429,                0.07804,                0.04882,                0.02914,                 3.1829,                 4.3596,                 1.8253,              0.0093317,              0.0093317,              0.0093317
                     30,                0.93294,                 0.5545,                0.89203,                0.31061,                0.06717,                0.06516,                0.02763,                 3.1755,                 4.1521,                  1.813,               0.009307,               0.009307,               0.009307
                     31,                0.93613,                0.55659,                0.89227,                0.26946,                0.12439,                0.08689,                0.03895,                  3.135,                 4.2056,                 1.8243,              0.0092823,              0.0092823,              0.0092823
                     32,                0.91715,                0.54414,                0.88832,                0.30314,                0.08941,                 0.0672,                0.02943,                 3.1025,                  4.237,                 1.7487,              0.0092575,              0.0092575,              0.0092575
                     33,                0.91473,                0.54228,                0.88584,                0.25298,                0.07493,                0.05085,                0.03014,                 3.1542,                 4.1927,                 1.8657,              0.0092327,              0.0092327,              0.0092327
                     34,                0.90577,                0.53409,                0.88424,                0.22828,                0.10042,                0.07519,                0.02927,                 3.2187,                 4.3769,                  1.863,               0.009208,               0.009208,               0.009208
                     35,                0.89715,                0.52894,                0.88204,                0.27353,                0.07255,                0.07414,                0.03462,                 3.1599,                 4.3497,                 1.8152,              0.0091833,              0.0091833,              0.0091833
                     36,                0.89388,                0.52795,                0.88072,                0.25985,                0.09829,                0.07258,                0.03705,                 3.1942,                 4.3726,                 1.8419,              0.0091585,              0.0091585,              0.0091585
                     37,                0.89113,                0.52256,                0.87888,                0.23931,                0.11975,                0.08516,                0.03841,                 3.2216,                 4.3076,                 1.8154,              0.0091337,              0.0091337,              0.0091337
                     38,                0.87742,                0.51454,                0.87637,                0.26258,                0.08449,                0.06302,                0.02808,                 3.2373,                 4.4625,                 1.7877,               0.009109,               0.009109,               0.009109
                     39,                0.87467,                 0.5139,                0.87673,                0.24279,                0.09182,                0.07135,                0.02987,                 3.1366,                 4.3141,                 1.7422,              0.0090843,              0.0090843,              0.0090843
                     40,                0.86811,                 0.5084,                0.87445,                0.31486,                0.07484,                0.07223,                0.02687,                 3.1829,                 4.5938,                 1.7778,              0.0090595,              0.0090595,              0.0090595
                     41,                0.86216,                0.50385,                0.87319,                0.29559,                0.11699,                0.09496,                0.04506,                 3.2187,                 4.4025,                 1.8628,              0.0090347,              0.0090347,              0.0090347
                     42,                0.86044,                0.50344,                0.87189,                 0.3588,                0.06662,                0.07415,                0.03343,                 3.1885,                 4.6724,                 1.8338,                0.00901,                0.00901,                0.00901
                     43,                0.85093,                0.49491,                0.86932,                0.32206,                0.09105,                0.07936,                0.03774,                 3.2293,                  4.575,                 1.8298,              0.0089853,              0.0089853,              0.0089853
                     44,                0.84401,                0.49193,                0.86768,                0.14358,                0.13525,                0.08322,                0.03279,                 3.2566,                 4.6442,                 1.8557,              0.0089605,              0.0089605,              0.0089605
