filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
│Ч│Э│Ю0301666034_TS903186269-db37b0be-e137-4077-a2ed-a6cb6b0c9564.jpg,226262,"{}",1,0,"{""name"":""rect"",""x"":533,""y"":369,""width"":717,""height"":1389}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301516597_TS903153362-2c6a27aa-cd3d-43d6-b106-fe9a83482635.jpg,281872,"{}",1,0,"{""name"":""rect"",""x"":232,""y"":133,""width"":949,""height"":1925}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301516613_TS903153369-4414b193-c1cc-4e34-8e39-b1b0a0957b4f.jpg,260793,"{}",1,0,"{""name"":""rect"",""x"":198,""y"":502,""width"":1051,""height"":1311}","{""terminal"":""terminal"",""full_visibility"":""false""}"
╨Ч╨Э╨Ю0301516862_TS903153451-7a7c5dae-cc8a-4931-8776-da164cf3aab6.jpg,154304,"{}",1,0,"{""name"":""rect"",""x"":108,""y"":256,""width"":701,""height"":1293}","{""terminal"":""terminal"",""full_visibility"":""false""}"
╨Ч╨Э╨Ю0301516949_TS903153464-6e9f23ce-d2f8-44ca-8e16-a54a8029d9f3.jpg,100477,"{}",1,0,"{""name"":""rect"",""x"":96,""y"":283,""width"":1215,""height"":1796}","{""terminal"":""terminal"",""full_visibility"":""false""}"
╨Ч╨Э╨Ю0301517243_TS903153519-65c683de-8dec-4e24-aacc-9ee33bc61543.jpg,325961,"{}",1,0,"{""name"":""rect"",""x"":34,""y"":751,""width"":720,""height"":1311}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301517280_TS903153534-16bd2aa2-7315-40e4-b004-3603ef18acd6.jpg,240843,"{}",1,0,"{""name"":""rect"",""x"":270,""y"":276,""width"":997,""height"":1693}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301517293_TS903153533-d2323026-5485-476f-97fa-b5c29b73d2f8.jpg,188998,"{}",1,0,"{""name"":""rect"",""x"":358,""y"":317,""width"":881,""height"":1615}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301517352_TS903153535-c45b4331-39ca-49c0-9cd4-895e7d14778e.jpg,250675,"{}",2,0,"{""name"":""rect"",""x"":1112,""y"":927,""width"":445,""height"":824}","{""terminal"":""terminal"",""full_visibility"":""false""}"
╨Ч╨Э╨Ю0301517352_TS903153535-c45b4331-39ca-49c0-9cd4-895e7d14778e.jpg,250675,"{}",2,1,"{""name"":""rect"",""x"":239,""y"":375,""width"":635,""height"":1181}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301517685_TS903153592-19de9a00-1735-4e86-94da-d148ffb1c260.jpg,129253,"{}",1,0,"{""name"":""rect"",""x"":398,""y"":125,""width"":909,""height"":1009}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301517686_TS903153593-41c07549-5818-4e03-9a66-0b6c3cd121c7.jpg,93894,"{}",1,0,"{""name"":""rect"",""x"":329,""y"":263,""width"":705,""height"":682}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301517709_TS903153606-e4de0540-8360-4e58-85b6-be8e32d4224f.jpg,110882,"{}",1,0,"{""name"":""rect"",""x"":500,""y"":304,""width"":478,""height"":851}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301518537_TS903153742-b40415a8-cc21-4fa9-a37f-44b96b0408b9.jpg,226515,"{}",1,0,"{""name"":""rect"",""x"":365,""y"":375,""width"":867,""height"":1683}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301518551_TS903153744-221d81fa-639f-406d-a7a5-5596a08f385e.jpg,197137,"{}",1,0,"{""name"":""rect"",""x"":655,""y"":567,""width"":621,""height"":915}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301521288_TS903153892-c12de411-49c9-4b31-8060-f598282fa4d8.jpg,227707,"{}",1,0,"{""name"":""rect"",""x"":423,""y"":307,""width"":870,""height"":1577}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301521384_TS903153902-0cb94022-79b8-4888-b6ed-10925ddcd427.jpg,258713,"{}",1,0,"{""name"":""rect"",""x"":321,""y"":317,""width"":833,""height"":1683}","{""terminal"":""terminal"",""full_visibility"":""false""}"
╨Ч╨Э╨Ю0301522064_TS903153998-8cb94421-4d49-4a2b-8a99-cce830ec4ded.jpg,309578,"{}",1,0,"{""name"":""rect"",""x"":208,""y"":369,""width"":870,""height"":1331}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301522064_TS903153998-33e9ce79-f331-433f-9ee4-3d02a9870322.jpg,141007,"{}",1,0,"{""name"":""rect"",""x"":23,""y"":3,""width"":781,""height"":1544}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301525103_TS903154552-92aca244-0da5-4894-84b1-ed824799b1cd.jpg,220588,"{}",1,0,"{""name"":""rect"",""x"":51,""y"":3,""width"":1174,""height"":2072}","{""terminal"":""terminal"",""full_visibility"":""true""}"
╨Ч╨Э╨Ю0301525441_TS903154610-fe990f84-e78b-4482-aeb8-1ee493fda16e.jpg,222027,"{}",1,0,"{""name"":""rect"",""x"":276,""y"":208,""width"":1000,""height"":1854}","{""terminal"":""terminal"",""full_visibility"":""true""}"
