                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74253,                 1.4567,                 1.1988,                 0.9492,                  0.975,                0.97531,                0.87436,                0.50668,                 0.4502,                 1.0186,              0.0033323,              0.0033323,              0.0033323
                      2,                0.88032,                0.92396,                 1.2581,                0.89482,                 0.8505,                0.91043,                0.76414,                0.67209,                0.68185,                 1.1771,              0.0066217,              0.0066217,              0.0066217
                      3,                 1.0719,                 1.1624,                 1.3785,                0.87301,                0.90843,                0.94536,                0.78293,                 0.7374,                0.60381,                 1.2413,               0.009867,               0.009867,               0.009867
                      4,                 1.0763,                 1.1288,                  1.356,                0.93717,                0.98066,                0.95756,                0.85948,                0.59738,                0.46013,                 1.0865,               0.009802,               0.009802,               0.009802
                      5,                0.93624,                0.92962,                 1.2519,                0.92548,                0.97238,                0.96892,                0.88123,                0.52847,                0.41628,                 1.0295,               0.009802,               0.009802,               0.009802
                      6,                0.87186,                0.82035,                 1.2076,                0.94781,                0.97238,                0.96811,                0.89461,                0.49207,                0.37521,                 0.9945,               0.009736,               0.009736,               0.009736
                      7,                0.81786,                0.75685,                 1.1727,                0.95051,                0.97514,                0.97279,                0.90184,                0.43975,                 0.3405,                0.95713,                0.00967,                0.00967,                0.00967
                      8,                0.79571,                0.71654,                 1.1597,                0.94927,                0.98377,                0.97714,                0.92442,                0.40841,                0.32251,                0.93388,               0.009604,               0.009604,               0.009604
                      9,                0.75338,                0.67578,                 1.1293,                0.94307,                0.97907,                0.97555,                0.92887,                0.39052,                0.30979,                0.92375,               0.009538,               0.009538,               0.009538
                     10,                0.74524,                0.65347,                 1.1265,                0.95126,                0.98895,                0.97168,                0.92346,                0.40451,                0.30096,                0.93277,               0.009472,               0.009472,               0.009472
