                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74253,                 1.4567,                 1.1988,                 0.9492,                  0.975,                0.97531,                0.87436,                0.50668,                 0.4502,                 1.0186,              0.0033323,              0.0033323,              0.0033323
                      2,                0.86668,                0.91748,                 1.2552,                0.90986,                 0.9279,                0.95284,                0.81859,                0.61142,                0.53991,                 1.0978,              0.0065337,              0.0065337,              0.0065337
                      3,                  1.063,                 1.1433,                  1.375,                0.94388,                0.91381,                0.95267,                0.82428,                0.65075,                0.59662,                 1.1609,               0.009603,               0.009603,               0.009603
                      4,                 1.0667,                 1.1142,                 1.3561,                0.93842,                0.97036,                0.96785,                0.86997,                 0.5736,                 0.4691,                 1.0734,               0.009406,               0.009406,               0.009406
                      5,                 0.9343,                0.93058,                 1.2532,                0.95533,                0.96201,                0.97904,                0.88227,                0.51484,                0.40151,                 1.0169,               0.009406,               0.009406,               0.009406
                      6,                0.86575,                0.80843,                  1.204,                0.94037,                0.96961,                0.96824,                0.89786,                0.46361,                0.37796,                0.98048,               0.009208,               0.009208,               0.009208
                      7,                0.81535,                0.74927,                 1.1736,                0.95088,                0.98655,                0.97765,                0.91081,                0.44088,                 0.3449,                0.95199,                0.00901,                0.00901,                0.00901
                      8,                0.78432,                 0.7099,                 1.1545,                 0.9522,                0.98474,                 0.9673,                0.91016,                0.41711,                  0.332,                0.93856,               0.008812,               0.008812,               0.008812
                      9,                0.74687,                0.67232,                 1.1293,                0.95034,                0.99406,                0.97725,                0.93582,                0.39706,                0.31312,                 0.9317,               0.008614,               0.008614,               0.008614
                     10,                0.73481,                0.64436,                  1.124,                0.95668,                0.98066,                0.96226,                 0.9199,                0.37565,                0.30187,                0.91441,               0.008416,               0.008416,               0.008416
                     11,                0.70771,                0.60382,                 1.1056,                0.95485,                0.98895,                0.97667,                0.93603,                0.37942,                0.29244,                0.91993,               0.008218,               0.008218,               0.008218
                     12,                0.68881,                0.58985,                 1.0912,                0.95732,                0.98066,                0.97722,                 0.9307,                0.37529,                0.29328,                0.91095,                0.00802,                0.00802,                0.00802
                     13,                0.67956,                0.57898,                 1.0902,                 0.9518,                0.99257,                0.97745,                0.93576,                0.36972,                0.28627,                0.90407,               0.007822,               0.007822,               0.007822
                     14,                0.67332,                0.56318,                 1.0858,                0.95394,                0.98898,                0.97785,                0.93717,                0.36259,                0.28626,                0.89781,               0.007624,               0.007624,               0.007624
                     15,                0.65997,                0.54045,                 1.0794,                0.95597,                0.98895,                0.96974,                0.93368,                0.35692,                0.27769,                0.89991,               0.007426,               0.007426,               0.007426
                     16,                0.65209,                0.53522,                 1.0716,                0.95521,                0.99448,                0.97947,                0.94554,                0.35389,                0.26958,                0.89645,               0.007228,               0.007228,               0.007228
                     17,                0.64098,                0.52199,                 1.0675,                0.95536,                0.99448,                0.97914,                0.94611,                0.34514,                0.26869,                0.89256,                0.00703,                0.00703,                0.00703
                     18,                0.62734,                0.51069,                 1.0615,                0.95714,                0.99448,                0.97678,                0.94295,                0.34464,                0.26553,                0.89179,               0.006832,               0.006832,               0.006832
                     19,                0.62058,                0.49754,                 1.0564,                0.95743,                0.99448,                0.98034,                0.94499,                0.34316,                0.26649,                0.89039,               0.006634,               0.006634,               0.006634
                     20,                0.61219,                0.48467,                 1.0513,                0.95774,                0.99448,                0.97775,                0.94478,                0.34222,                0.26479,                0.88972,               0.006436,               0.006436,               0.006436
